"Item" "Order" "SubjectNo" "Room"
"FirstAidKit" 2 "P28" "Library"
"BallonDog" 3 "P28" "Library"
"Clamps" 4 "P28" "Library"
"Toothpaste" 5 "P28" "Library"
"UGGboot" 6 "P28" "Library"
"MobilePhone" 1 "P28" "LivingRoom"
"CinRoll" 2 "P28" "LivingRoom"
"OldRadio" 3 "P28" "LivingRoom"
"CokeCan" 4 "P28" "LivingRoom"
"StrawberryDonut" 5 "P28" "LivingRoom"
"NailScissors" 6 "P28" "LivingRoom"
"CoffeeMachine" 1 "P28" "StorageRoom"
"Official hat" 2 "P28" "StorageRoom"
"Pinza" 3 "P28" "StorageRoom"
"Canister" 4 "P28" "StorageRoom"
"ShowerHead" 5 "P28" "StorageRoom"
"Bread" 6 "P28" "StorageRoom"
"HTCViveController" 1 "P29" "Bedroom"
"Spoons" 2 "P29" "Bedroom"
"Typewriter" 3 "P29" "Bedroom"
"MilkCarton" 4 "P29" "Bedroom"
"Apple" 5 "P29" "Bedroom"
"MokeExpress" 6 "P29" "Bedroom"
"Paprika" 1 "P29" "Classroom"
"Avocado" 2 "P29" "Classroom"
"PiggyBank" 3 "P29" "Classroom"
"Mouse" 4 "P29" "Classroom"
"RugbyBall" 5 "P29" "Classroom"
"BaseballBat" 6 "P29" "Classroom"
"Pineapple" 1 "P29" "Gym"
"Controller" 2 "P29" "Gym"
"Muffin" 3 "P29" "Gym"
"MechanicalGloves" 4 "P29" "Gym"
"Kettle" 5 "P29" "Gym"
"SaltSub" 6 "P29" "Gym"
"HandDrill" 1 "P29" "Library"
"Teacup" 2 "P29" "Library"
"Openner" 3 "P29" "Library"
"Squeezer" 4 "P29" "Library"
"EggBeater" 5 "P29" "Library"
"Padella" 6 "P29" "Library"
"PencilSharpener" 1 "P29" "LivingRoom"
"Stapler" 2 "P29" "LivingRoom"
"CleaningBucket" 3 "P29" "LivingRoom"
"Calculator" 4 "P29" "LivingRoom"
"Mushroom" 5 "P29" "LivingRoom"
"Headphones" 6 "P29" "LivingRoom"
"Cabbaage" 1 "P29" "StorageRoom"
"JBLSpeaker" 2 "P29" "StorageRoom"
"Toaster" 3 "P29" "StorageRoom"
"OfficeBin" 4 "P29" "StorageRoom"
"Grape" 5 "P29" "StorageRoom"
"NikonCamera" 6 "P29" "StorageRoom"
"OldRadio" 1 "P30" "Bedroom"
"WineBottle" 2 "P30" "Bedroom"
"MosquitoRacket" 3 "P30" "Bedroom"
"PaperCoffeeCup" 4 "P30" "Bedroom"
"NailScissors" 5 "P30" "Bedroom"
"Laptop" 6 "P30" "Bedroom"
"Router" 1 "P30" "Classroom"
"Hammer" 2 "P30" "Classroom"
"CokeCan" 3 "P30" "Classroom"
"Clamps" 4 "P30" "Classroom"
"Bread" 5 "P30" "Classroom"
"FirstAidKit" 6 "P30" "Classroom"
"DeskLight" 1 "P30" "Gym"
"HTCVive" 2 "P30" "Gym"
"TennisBall" 3 "P30" "Gym"
"Jug" 4 "P30" "Gym"
"CoffeeMachine" 5 "P30" "Gym"
"Pumpkin" 6 "P30" "Gym"
"ShowerHead" 1 "P30" "Library"
"RockingHorse" 2 "P30" "Library"
"Glasses" 3 "P30" "Library"
"Canister" 4 "P30" "Library"
"CinRoll" 5 "P30" "Library"
"Microphone" 6 "P30" "Library"
"FireExtinguisher" 1 "P30" "LivingRoom"
"Toothpaste" 2 "P30" "LivingRoom"
"MobilePhone" 3 "P30" "LivingRoom"
"Pinza" 4 "P30" "LivingRoom"
"Basket" 5 "P30" "LivingRoom"
"Recorder" 6 "P30" "LivingRoom"
"Official hat" 1 "P30" "StorageRoom"
"BallonDog" 2 "P30" "StorageRoom"
"Chaynik" 3 "P30" "StorageRoom"
"UGGboot" 4 "P30" "StorageRoom"
"Matrioshka" 5 "P30" "StorageRoom"
"StrawberryDonut" 6 "P30" "StorageRoom"
"MechanicalGloves" 1 "P31" "Bedroom"
"EggBeater" 2 "P31" "Bedroom"
"Cabbaage" 3 "P31" "Bedroom"
"SaltSub" 4 "P31" "Bedroom"
"Controller" 5 "P31" "Bedroom"
"Spoons" 6 "P31" "Bedroom"
"Mouse" 1 "P31" "Classroom"
"MilkCarton" 2 "P31" "Classroom"
"Pineapple" 3 "P31" "Classroom"
"JBLSpeaker" 4 "P31" "Classroom"
"Teacup" 5 "P31" "Classroom"
"Padella" 6 "P31" "Classroom"
"PencilSharpener" 1 "P31" "Gym"
"Stapler" 2 "P31" "Gym"
"HTCViveController" 3 "P31" "Gym"
"Toaster" 4 "P31" "Gym"
"RugbyBall" 5 "P31" "Gym"
"CleaningBucket" 6 "P31" "Gym"
"HandDrill" 1 "P31" "Library"
"Headphones" 2 "P31" "Library"
"Grape" 3 "P31" "Library"
"Openner" 4 "P31" "Library"
"Muffin" 5 "P31" "Library"
"Kettle" 6 "P31" "Library"
"Mushroom" 1 "P31" "LivingRoom"
"Apple" 2 "P31" "LivingRoom"
"Typewriter" 3 "P31" "LivingRoom"
"Paprika" 4 "P31" "LivingRoom"
"PiggyBank" 5 "P31" "LivingRoom"
"NikonCamera" 6 "P31" "LivingRoom"
"MokeExpress" 1 "P31" "StorageRoom"
"BaseballBat" 2 "P31" "StorageRoom"
"OfficeBin" 3 "P31" "StorageRoom"
"Squeezer" 4 "P31" "StorageRoom"
"Avocado" 5 "P31" "StorageRoom"
"Calculator" 6 "P31" "StorageRoom"
"MobilePhone" 1 "P32" "Bedroom"
"ShowerHead" 2 "P32" "Bedroom"
"Hammer" 3 "P32" "Bedroom"
"Matrioshka" 4 "P32" "Bedroom"
"TennisBall" 5 "P32" "Bedroom"
"Pinza" 6 "P32" "Bedroom"
"Official hat" 1 "P32" "Classroom"
"Router" 2 "P32" "Classroom"
"UGGboot" 3 "P32" "Classroom"
"Basket" 4 "P32" "Classroom"
"Laptop" 5 "P32" "Classroom"
"Jug" 6 "P32" "Classroom"
"Bread" 1 "P32" "Gym"
"FireExtinguisher" 2 "P32" "Gym"
"CoffeeMachine" 3 "P32" "Gym"
"OldRadio" 4 "P32" "Gym"
"Clamps" 5 "P32" "Gym"
"Chaynik" 6 "P32" "Gym"
"Microphone" 1 "P32" "Library"
"NailScissors" 2 "P32" "Library"
"HTCVive" 3 "P32" "Library"
"PaperCoffeeCup" 4 "P32" "Library"
"Toothpaste" 5 "P32" "Library"
"DeskLight" 6 "P32" "Library"
"CokeCan" 1 "P32" "LivingRoom"
"CinRoll" 2 "P32" "LivingRoom"
"Pumpkin" 3 "P32" "LivingRoom"
"MosquitoRacket" 4 "P32" "LivingRoom"
"Canister" 5 "P32" "LivingRoom"
"Recorder" 6 "P32" "LivingRoom"
"StrawberryDonut" 1 "P32" "StorageRoom"
"WineBottle" 2 "P32" "StorageRoom"
"FirstAidKit" 3 "P32" "StorageRoom"
"RockingHorse" 4 "P32" "StorageRoom"
"Glasses" 5 "P32" "StorageRoom"
"BallonDog" 6 "P32" "StorageRoom"
"Controller" 1 "P33" "Bedroom"
"Mouse" 2 "P33" "Bedroom"
"Muffin" 3 "P33" "Bedroom"
"MilkCarton" 4 "P33" "Bedroom"
"RugbyBall" 5 "P33" "Bedroom"
"Grape" 6 "P33" "Bedroom"
"Mushroom" 1 "P33" "Classroom"
"EggBeater" 2 "P33" "Classroom"
"Spoons" 3 "P33" "Classroom"
"CleaningBucket" 4 "P33" "Classroom"
"SaltSub" 5 "P33" "Classroom"
"PiggyBank" 6 "P33" "Classroom"
"PencilSharpener" 1 "P33" "Gym"
"Paprika" 2 "P33" "Gym"
