"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"Classroom","TennisBall",6.326504,0.3,14.69755,"P37"
"Classroom","FirstAidKit",7.419799,0.3,8.015962,"P37"
"Gym","CokeCan",-7.275914,0.3,1.737744,"P37"
"Gym","Microphone",-1.336441,0.3,7.416355,"P37"
"Gym","DeskLight",0.8904087,1,2.841884,"P37"
"Gym","Glasses",5.33274,0.3,12.9925,"P37"
"Gym","Bread",-7.716007,0.3,9.754519,"P37"
"Gym","CinRoll",7.254511,0.3,4.78561,"P37"
"Library","Pinza",-4.298329,0.3,15.87029,"P37"
"Library","NailScissors",-6.413334,0.3,4.439999,"P37"
"Library","Chaynik",-6.896195,0.3,12.50396,"P37"
"Library","ShowerHead",6.983205,2,9.177379,"P37"
"Library","CoffeeMachine",-7.700255,0.3,12.32371,"P37"
"Library","PaperCoffeeCup",2.100084,0.3,9.630655,"P37"
"LivingRoom","Hammer",-0.45057,1,15.93386,"P37"
"LivingRoom","MosquitoRacket",-0.1783628,0.3,0.839191,"P37"
"LivingRoom","HTCVive",7.545541,0.3,11.94789,"P37"
"LivingRoom","Official hat",-3.307382,0.3,8.37791,"P37"
"LivingRoom","Matrioshka",5.474876,0.3,8.407101,"P37"
"LivingRoom","WineBottle",-0.9451607,3,15.1929,"P37"
"StorageRoom","MobilePhone",0.1020005,2,15.86107,"P37"
"StorageRoom","BallonDog",4.083715,1.3,9.073374,"P37"
"StorageRoom","FireExtinguisher",-2.571383,0.3,6.853617,"P37"
"StorageRoom","Router",6.429906,0.3,10.70628,"P37"
"StorageRoom","Jug",1.726105,1,6.243545,"P37"
"StorageRoom","Basket",-4.915506,3,0.9280062,"P37"
"Bedroom","JBLSpeaker",7.505708,0.3,7.762714,"P38"
"Bedroom","Toaster",6.166286,0.3,11.5444,"P38"
"Bedroom","Typewriter",2.929631,0.3,13.58211,"P38"
"Bedroom","Grape",-2.579493,0.3,10.93079,"P38"
"Bedroom","CleaningBucket",-6.622677,2.3,15.11593,"P38"
"Bedroom","Avocado",2.550402,0.3,16.34086,"P38"
"Classroom","MechanicalGloves",-6.575965,0.3,1.509312,"P38"
"Classroom","Mushroom",-7.153152,0.3,5.778331,"P38"
"Classroom","OfficeBin",-3.452198,0.3,13.50739,"P38"
"Classroom","NikonCamera",6.689304,0.3,6.90684,"P38"
"Classroom","Squeezer",6.069395,0.3,14.01647,"P38"
"Classroom","SaltSub",5.731719,0.3,10.30219,"P38"
"Gym","Kettle",-1.468853,0.3,3.072392,"P38"
"Gym","Apple",-2.494699,0.3,15.76787,"P38"
"Gym","Openner",-7.918931,0.3,10.85252,"P38"
"Gym","Cabbaage",-7.333541,0.3,3.176914,"P38"
"Gym","BaseballBat",7.619165,0.3,7.740913,"P38"
"Gym","Pineapple",5.61888,0.3,12.26948,"P38"
